NUM_AUTORIZACION_TC,IND_ANOMALA_SVM,IND_ANOMALA_GN
922250,[-1],NA
901915,[-1],NA
911392,[-1],NA
895973,[-1],NA
916314,[-1],NA
851021,[-1],NA
919554,[-1],BAJA
915739,[-1],BAJA
881267,[-1],NA
834417,[-1],BAJA
879676,[-1],NA
911066,[-1],NA
872867,[-1],NA
929228,[-1],NA
913985,[-1],BAJA
936473,[-1],BAJA
814873,[-1],NA
896106,[-1],BAJA
916034,[-1],BAJA
865514,[-1],BAJA
840922,[-1],NA
917331,[-1],NA
813444,[-1],NA
925445,[-1],NA
832567,[-1],NA
841274,[-1],BAJA
847498,[-1],NA
912429,[-1],BAJA
809394,[-1],NA
888780,[-1],NA
881894,[-1],NA
865455,[-1],NA
815238,[-1],BAJA
877529,[-1],NA
909872,[-1],BAJA
931851,[-1],NA
806754,[-1],NA
820881,[-1],NA
820060,[-1],NA
935695,[-1],NA
902283,[-1],BAJA
873930,[-1],NA
897378,[-1],NA
821075,[-1],NA
850977,[-1],NA
901579,[-1],NA
927813,[-1],BAJA
824833,[-1],NA
825702,[-1],NA
900058,[-1],NA
901537,[-1],NA
882083,[-1],BAJA
921060,[-1],NA
909027,[-1],BAJA
820456,[-1],NA
903346,[-1],NA
817801,[-1],NA
879434,[-1],BAJA
806611,[-1],BAJA
810676,[-1],BAJA
814087,[-1],NA
834729,[-1],NA
851118,[-1],BAJA
855848,[-1],NA
812071,[-1],BAJA
920952,[-1],NA
897289,[-1],NA
869811,[-1],NA
839521,[-1],BAJA
923051,[-1],NA
813039,[-1],NA
806852,[-1],NA
890093,[-1],NA
820647,[-1],NA
839922,[-1],NA
842737,[-1],NA
852290,[-1],BAJA
865564,[-1],NA
835311,[-1],NA
892552,[-1],NA
860451,[-1],NA
824394,[-1],BAJA
874599,[-1],NA
935451,[-1],BAJA
910351,[-1],NA
891052,[-1],NA
912761,[-1],NA
863829,[-1],BAJA
932238,[-1],BAJA
832172,[-1],NA
907582,[-1],NA
815813,[-1],NA
844520,[-1],BAJA
830862,[-1],NA
853461,[-1],NA
838294,[-1],BAJA
827598,[-1],NA
911720,[-1],NA
849291,[-1],BAJA
865838,[-1],NA
887624,[-1],BAJA
894637,[-1],NA
902349,[-1],BAJA
909549,[-1],NA
845331,[-1],BAJA
856176,[-1],BAJA
865781,[-1],NA
881155,[-1],BAJA
920368,[-1],NA
853101,[-1],BAJA
876769,[-1],NA
874242,[-1],NA
866667,[-1],BAJA
823197,[-1],NA
891536,[-1],NA
901336,[-1],NA
840469,[-1],NA
840511,[-1],BAJA
851017,[-1],NA
872864,[-1],BAJA
844582,[-1],NA
876247,[-1],NA
888642,[-1],NA
892285,[-1],NA
905116,[-1],NA
928884,[-1],NA
833403,[-1],NA
823849,[-1],NA
925305,[-1],NA
860424,[-1],NA
877731,[-1],NA
